room_id,sender,gender,msg_count,chars,mean_len,q_rate,laugh_rate,room_total,room_share
2,Lily,female,24,336,14.0,0.0,0.08333333333333333,111,0.21621621621621623
2,Steve,male,50,601,12.02,0.0,0.12,111,0.45045045045045046
2,Zack,male,37,424,11.45945945945946,0.0,0.0,111,0.3333333333333333
3,Lily,female,41,690,16.829268292682926,0.0,0.0,81,0.5061728395061729
3,Steve,male,23,229,9.956521739130435,0.0,0.043478260869565216,81,0.2839506172839506
3,Zack,male,17,228,13.411764705882353,0.0,0.058823529411764705,81,0.20987654320987653
4,Lily,female,11,238,21.636363636363637,0.18181818181818182,0.0,54,0.2037037037037037
4,Steve,male,33,560,16.96969696969697,0.12121212121212122,0.030303030303030304,54,0.6111111111111112
4,ccj,male,10,242,24.2,0.0,0.0,54,0.18518518518518517
5,Lily,female,2,114,57.0,0.0,0.0,26,0.07692307692307693
5,Steve,male,5,270,54.0,0.0,0.0,26,0.19230769230769232
5,ccj,male,19,521,27.42105263157895,0.05263157894736842,0.0,26,0.7307692307692307
6,Lily,female,38,431,11.342105263157896,0.0,0.13157894736842105,96,0.3958333333333333
6,Steve,male,23,539,23.434782608695652,0.0,0.043478260869565216,96,0.23958333333333334
6,ccj,male,35,331,9.457142857142857,0.0,0.17142857142857143,96,0.3645833333333333
7,Lily,female,12,166,13.833333333333334,0.3333333333333333,0.0,47,0.2553191489361702
7,Steve,male,22,516,23.454545454545453,0.0,0.0,47,0.46808510638297873
7,ccj,male,13,178,13.692307692307692,0.0,0.0,47,0.2765957446808511
8,Lily,female,39,606,15.538461538461538,0.07692307692307693,0.07692307692307693,80,0.4875
8,Steve,male,21,183,8.714285714285714,0.0,0.0,80,0.2625
8,ccj,male,20,155,7.75,0.0,0.1,80,0.25
9,Lily,female,11,187,17.0,0.0,0.0,75,0.14666666666666667
9,Steve,male,16,311,19.4375,0.0,0.25,75,0.21333333333333335
9,Zack,male,48,624,13.0,0.041666666666666664,0.10416666666666667,75,0.64
10,Lily,female,10,120,12.0,0.0,0.0,64,0.15625
10,Steve,male,14,255,18.214285714285715,0.0,0.0,64,0.21875
10,Zack,male,40,461,11.525,0.0,0.0,64,0.625
11,Lily,female,22,480,21.818181818181817,0.045454545454545456,0.09090909090909091,52,0.4230769230769231
11,Steve,male,22,602,27.363636363636363,0.0,0.13636363636363635,52,0.4230769230769231
11,Zack,male,8,254,31.75,0.125,0.0,52,0.15384615384615385
12,Lily,female,89,1057,11.876404494382022,0.0,0.02247191011235955,213,0.41784037558685444
12,Steve,male,69,898,13.014492753623188,0.0,0.028985507246376812,213,0.323943661971831
12,Zack,male,55,779,14.163636363636364,0.0,0.09090909090909091,213,0.25821596244131456
13,Lily,female,28,384,13.714285714285714,0.03571428571428571,0.17857142857142858,115,0.24347826086956523
13,Steve,male,47,447,9.51063829787234,0.0,0.0,115,0.40869565217391307
13,Zack,male,40,535,13.375,0.025,0.125,115,0.34782608695652173
14,Lily,female,28,227,8.107142857142858,0.0,0.10714285714285714,74,0.3783783783783784
14,Steve,male,19,136,7.157894736842105,0.05263157894736842,0.0,74,0.25675675675675674
14,李四,male,27,613,22.703703703703702,0.07407407407407407,0.07407407407407407,74,0.36486486486486486
16,Lily,female,10,103,10.3,0.0,0.2,42,0.23809523809523808
16,Steve,male,7,163,23.285714285714285,0.0,0.0,42,0.16666666666666666
16,Zack,male,25,323,12.92,0.0,0.0,42,0.5952380952380952
17,Steve,male,26,198,7.615384615384615,0.0,0.0,100,0.26
17,Zack,male,58,657,11.327586206896552,0.0,0.08620689655172414,100,0.58
17,张三,female,16,143,8.9375,0.0625,0.25,100,0.16
