room_id,female_share,male_share
2,0.21621621621621623,0.7837837837837838
3,0.5061728395061729,0.49382716049382713
4,0.2037037037037037,0.7962962962962963
5,0.07692307692307693,0.9230769230769231
6,0.3958333333333333,0.6041666666666667
7,0.2553191489361702,0.7446808510638299
8,0.4875,0.5125
9,0.14666666666666667,0.8533333333333333
10,0.15625,0.84375
11,0.4230769230769231,0.5769230769230769
12,0.41784037558685444,0.5821596244131455
13,0.24347826086956523,0.7565217391304347
14,0.3783783783783784,0.6216216216216216
16,0.23809523809523808,0.7619047619047619
17,0.16,0.84
